timestamp,engine_temp,rpm,engine_load,fuel_rate,speed_knots,oil_pressure,coolant_temp,vibration,weather_status,engine_status
2026-01-01 00:00:00,80.5,1188,75,211,24,4.51,71.8,0.76,storm,critical
2026-01-01 00:05:00,87.3,1366,69,209,19,4.55,78.4,0.75,rough,warning
2026-01-01 00:10:00,89.2,1303,62,192,23,4.13,80.8,0.38,moderate,normal
2026-01-01 00:15:00,83.8,1381,72,193,20,4.08,73.9,0.86,calm,critical
2026-01-01 00:20:00,95.0,1067,78,231,24,4.07,86.1,0.44,moderate,warning
2026-01-01 00:25:00,82.9,1295,89,205,23,4.49,75.9,0.56,moderate,normal
2026-01-01 00:30:00,90.1,1460,62,218,18,4.28,84.9,0.44,calm,warning
2026-01-01 00:35:00,82.4,1069,85,231,21,4.79,75.5,0.84,calm,critical
2026-01-01 00:40:00,86.7,1443,71,207,23,4.54,78.4,0.68,rough,warning
2026-01-01 00:45:00,88.1,1451,84,204,19,4.59,80.8,0.58,calm,normal
2026-01-01 00:50:00,92.8,1418,68,195,20,4.76,84.0,0.78,moderate,critical
2026-01-01 00:55:00,92.5,1461,68,234,24,4.48,85.8,0.55,rough,warning
2026-01-01 01:00:00,88.3,1399,88,182,24,4.37,81.3,0.68,calm,warning
2026-01-01 01:05:00,90.9,1028,83,196,21,4.31,83.0,0.33,rough,warning
2026-01-01 01:10:00,86.2,1284,67,204,18,4.24,76.8,0.38,moderate,normal
2026-01-01 01:15:00,90.3,1489,70,204,21,4.04,80.4,0.4,moderate,warning
2026-01-01 01:20:00,90.1,1410,74,224,24,4.48,83.3,0.45,moderate,warning
2026-01-01 01:25:00,87.1,1331,62,230,22,4.01,81.7,0.67,calm,warning
2026-01-01 01:30:00,89.0,1231,72,217,18,4.73,79.8,0.2,rough,normal
2026-01-01 01:35:00,86.7,1473,83,195,24,4.36,76.7,0.68,moderate,warning
2026-01-01 01:40:00,83.2,1119,86,206,21,4.19,77.4,0.28,moderate,normal
2026-01-01 01:45:00,83.7,1064,72,182,24,4.23,74.7,0.27,moderate,normal
2026-01-01 01:50:00,85.9,1321,60,185,24,4.01,78.8,0.73,calm,warning
2026-01-01 01:55:00,84.6,1381,62,215,20,4.55,75.6,0.78,moderate,critical
2026-01-01 02:00:00,91.2,1308,78,216,19,4.02,85.5,0.87,calm,critical
2026-01-01 02:05:00,84.7,1194,74,230,21,4.64,79.6,0.49,calm,normal
2026-01-01 02:10:00,84.4,1126,70,185,20,4.01,77.3,0.73,calm,warning
2026-01-01 02:15:00,82.7,1431,75,224,18,4.18,74.2,0.85,calm,critical
2026-01-01 02:20:00,87.0,1441,74,180,22,4.28,77.2,0.5,calm,normal
2026-01-01 02:25:00,78.6,1019,82,225,18,4.1,73.2,0.4,rough,normal
2026-01-01 02:30:00,97.2,1035,81,234,23,4.03,91.9,0.87,moderate,critical
2026-01-01 02:35:00,82.9,1482,73,205,22,4.5,76.1,0.4,rough,normal
2026-01-01 02:40:00,85.2,1067,87,210,18,4.55,75.8,0.83,moderate,critical
2026-01-01 02:45:00,96.8,1057,87,190,23,4.22,89.8,0.81,rough,critical
2026-01-01 02:50:00,89.0,1357,83,231,21,4.42,80.9,0.29,calm,normal
2026-01-01 02:55:00,88.0,1252,78,217,24,4.33,82.2,0.33,moderate,normal
2026-01-01 03:00:00,83.8,1176,88,216,23,4.33,75.9,0.84,rough,critical
2026-01-01 03:05:00,86.3,1392,60,218,23,4.01,78.6,0.75,calm,warning
2026-01-01 03:10:00,94.3,1047,77,237,18,4.48,89.3,0.74,rough,warning
2026-01-01 03:15:00,87.7,1452,74,226,18,4.73,82.0,0.34,rough,normal
2026-01-01 03:20:00,84.2,1375,87,213,19,4.34,76.8,0.66,moderate,warning
2026-01-01 03:25:00,87.2,1229,86,200,24,4.31,80.6,0.73,moderate,warning
2026-01-01 03:30:00,94.3,1198,75,211,22,4.44,87.7,0.47,moderate,warning
2026-01-01 03:35:00,99.3,1006,79,189,24,4.29,90.9,0.77,calm,critical
2026-01-01 03:40:00,89.7,1252,68,213,19,4.38,81.8,0.59,rough,normal
2026-01-01 03:45:00,85.8,1175,61,219,23,4.53,79.8,0.89,moderate,critical
2026-01-01 03:50:00,91.4,1383,62,209,18,4.33,82.7,0.21,moderate,warning
2026-01-01 03:55:00,88.3,1193,80,197,24,4.17,79.1,0.32,rough,normal
2026-01-01 04:00:00,88.8,1408,87,220,20,4.1,81.3,0.6,rough,normal
2026-01-01 04:05:00,89.4,1199,75,203,22,4.13,83.5,0.29,moderate,normal
2026-01-01 04:10:00,88.7,1394,64,203,24,4.72,81.5,0.43,rough,normal
2026-01-01 04:15:00,84.4,1415,77,189,23,4.41,74.7,0.36,rough,normal
2026-01-01 04:20:00,89.1,1012,87,193,23,4.63,83.9,0.83,calm,critical
2026-01-01 04:25:00,93.9,1468,76,189,22,4.03,86.2,0.81,calm,critical
2026-01-01 04:30:00,88.2,1421,62,196,22,4.11,81.2,0.88,storm,critical
2026-01-01 04:35:00,87.8,1027,83,218,20,4.48,77.9,0.32,moderate,normal
2026-01-01 04:40:00,90.9,1456,80,200,18,4.53,84.4,0.88,rough,critical
2026-01-01 04:45:00,81.5,1233,85,210,18,4.59,76.4,0.21,rough,normal
2026-01-01 04:50:00,86.8,1060,60,212,21,4.09,78.9,0.83,calm,critical
2026-01-01 04:55:00,89.3,1112,71,208,21,4.51,81.3,0.48,calm,normal
